ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Nazwa,Czas ostatniej modyfikacji,Na jakim poziomie stanowiska pracujesz w Legii Warszawa,Jaki jest Twój staż pracy w Legii,"Kiedy myślisz „sztuczna inteligencja”, „AI”, jakie są Twoje pierwsze skojarzenia? Zapisz słowa, hasła, które przychodzą Ci go głowy","Generatory tekstu (np. ChatGPT, Gemini, Grok, Perplexity) ","Generatory obrazów (np. Midjourney, DALL-E, Sora) ","Asystenci głosowi (np. Siri, Asystent Google) ","Asystenci spotkań (narzędzia podsumowujące spotkania online Teams, Google, Fireflies) ","Czy korzystasz obecnie z narzędzi opartych na sztucznej inteligencji/ AI?
","Jak często używasz narzędzi opartych na AI?
","Do czego wykorzystujesz AI? Wskaż wszystkie opcje, z których korzystasz:
","Jak oceniasz obsługę znanych Ci narzędzi AI na bazie swoich doświadczeń?
","Czy widzisz realną potrzebę wykorzystania rozwiązań AI w swojej codziennej pracy?
","Jakie są Twoje odczucia wobec możliwości wykorzystywania AI w Twoim miejscu pracy, na Twoim stanowisku?
","Poniżej wskazano potencjalne korzyści z wykorzystania AI w miejscu pracy. Uszereguj je od najbardziej do najmniej przydatnego w Twojej pracy
","Brak wiedzy i umiejętności – nie wiem, jak efektywnie wykorzystywać AI w mojej pracy ",Brak dostępu – klub nie zapewnia narzędzi AI przydatnych w mojej pracy ,"Brak wytycznych – nie mam jasności, jak bezpiecznie i etycznie używać AI  ","Wątpliwości – obawiam się o bezpieczeństwo danych i wiarygodność informacji, które podaje AI ",Brak czasu – obowiązki nie pozwalają mi na wdrażanie nowych narzędzi ,Brak potrzeby – na moim stanowisku wsparcie AI jest zbędne ,"Czego chciał_byś się dowiedzieć, nauczyć, aby korzystać z AI w pracy w efektywny sposób?

","Czy dotychczas korzystał_ś z jakichś usług/ produktów uzupełniających wiedzę, podnoszących kompetencje w obszarze sztucznej inteligencji/ AI?
"
11,10/17/25 14:02:02,10/17/25 14:10:55,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",od 1 do 3 lat,"Big data, szybkość działania, automatyzacja, lepsze życie i sprawniejsze działanie.",Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;Budowanie scenariuszy alternatywnych, testy oferty i komunikacji;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Zdecydowanie się nie zgadzam ,Neutralnie,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Skuteczniejsza analiza big data,"Tak, brał_m udział w kursach/szkoleniach;Tak, czytał_m książki/ publikacje naukowe;Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
12,10/17/25 14:02:52,10/17/25 14:11:16,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,"Wielka zmiana, pomocne narzędzie",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystam obecnie,Korzystał_m kiedyś,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,Analiza danych;Wyszukiwanie i podsumowywanie informacji;,4,Nie,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Raczej się nie zgadzam ,Neutralnie,Raczej się zgadzam ,Neutralnie,Raczej się nie zgadzam ,Neutralnie,Na razie nie wiem,Nie korzystał_m z żadnych usług/ produktów;
13,10/17/25 14:03:13,10/17/25 14:11:43,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,"Przereklamowane, pełne błędów, ",Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Nie korzystam z narzędzi opartych na sztucznej inteligencji,,,,Nie,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;",Zdecydowanie się nie zgadzam ,Neutralnie,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Neutralnie,Zdecydowanie się zgadzam ,,"Tak, czytał_m książki/ publikacje naukowe;Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
14,10/17/25 14:08:37,10/17/25 14:13:38,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,lewackie piekne slowka i pobozne zyczenia,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,"Tak, tylko w życiu prywatnym",Raz w miesiącu lub rzadziej,czasem zeby sprawdzic stosowanie srodkow ochrony roslin;,1,Nie,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Zdecydowanie się zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Zdecydowanie się zgadzam ,Zdecydowanie się zgadzam ,Neutralnie,na ile to filtracja danych a na ile to czysto zyczeniowe tworzenie wynikow,Nie korzystał_m z żadnych usług/ produktów;
15,10/17/25 14:10:04,10/17/25 14:15:04,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,"Postęp technologiczny, świat zmierzający w kierunku scen z filmów SF",Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,Nigdy nie korzystał_m ,"Tak, tylko w życiu prywatnym",Kilka razy w miesiącu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;",4,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Zdecydowanie się zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Raczej się nie zgadzam ,Zwiększyć swoją wiedze w zakresie tworzenia bardziej efektywnych promptów,"Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;Tak, brał_m udział w kursach/szkoleniach;"
16,10/17/25 14:04:06,10/17/25 14:17:26,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 6 miesięcy do 1 roku,"chat gpt, sieci neuronowe, uczenie maszynowe",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w miesiącu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Analiza danych;tłumaczenie, wsparcie w tworzeniu formuł excela/kodach programu, szukaniu błędów w kodach i tekstach, streszczanie tekstów (żeby nie musieć czytać całego);",4,Nie,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Motywacja – mniej monotonnych i powtarzalnych zadań ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Neutralnie,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Raczej się nie zgadzam ,Raczej się zgadzam ,"nie wiem, czy jest inne okno, żeby to wpisać: używam projektanta prezentacji w powerpoint, wyszukiwarki obrazów, wyszukiwarki tekstów naukowych","Tak, brał_m udział w kursach/szkoleniach;Tak, czytał_m książki/ publikacje naukowe;"
17,10/17/25 14:06:48,10/17/25 14:24:20,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 1 do 3 lat,"Innowacja, wsparcie, przyszłość ",Korzystam obecnie,Korzystał_m kiedyś,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;",4,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Raczej się zgadzam ,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,"Jakie prompty przekazywać, żeby jak najszybciej otrzymywać trafne odpowiedzi",Nie korzystał_m z żadnych usług/ produktów;
18,10/17/25 14:29:20,10/17/25 14:34:37,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,Rozszerzenie możliwości. Wsparcie. ,Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,Korzystał_m kiedyś,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;Tłumacz, szkolenie, treningu;",3,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Raczej się nie zgadzam ,Neutralnie,Neutralnie,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,"Aspekty prawne, bezpieczeństwo informacji","Tak, brał_m udział w kursach/szkoleniach;Tak, czytał_m książki/ publikacje naukowe;Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
19,10/17/25 14:25:37,10/17/25 14:35:34,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,"wsparcie, więcej możliwości, dodatkowa pomoc (nie jako zupełnie zastępcze narzędzie do własnych działań i weryfikacji informacji) ",Korzystam obecnie,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Korzystał_m kiedyś,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;Analiza danych;",4,Tak,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Zdecydowanie się nie zgadzam ,Raczej się zgadzam ,Neutralnie,Zdecydowanie się zgadzam ,Zdecydowanie się nie zgadzam ,Raczej się nie zgadzam ,"analiza danych, tworzenie prostych grafik ","Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
20,10/17/25 14:27:58,10/17/25 14:40:55,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",więcej niż 6 lat,"obnażanie się, strach przed informacją jakie AI o nas już ma",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Nigdy nie korzystał_m ,"Tak, tylko w życiu prywatnym",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;naprowadzanie na rozwiązanie problemów;",4,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Efektywność – szybsza realizacja codziennych zadań. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,Neutralnie,Zdecydowanie się nie zgadzam ,jak precyzyjnie promptowac,"Tak, brał_m udział w kursach/szkoleniach;Tak, czytał_m książki/ publikacje naukowe;Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
21,10/17/25 14:36:25,10/17/25 14:41:08,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",od 3 do 6 lat,"pomoc, rozwój, upgrade",Korzystam obecnie,Korzystał_m kiedyś,Korzystam obecnie,Korzystał_m kiedyś,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;Automatyzacja powtarzalnych zadań;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Zdecydowanie się nie zgadzam ,Raczej się nie zgadzam ,Raczej się zgadzam ,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,Zdecydowanie się nie zgadzam ,"szerokiej optymalizacji wykorzystania różnych narzędzi na co dzień, także w działaniach graficznych ","Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
22,10/17/25 14:52:31,10/17/25 14:58:14,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 3 do 6 lat,"Ułatwienie, innowacja",Korzystam obecnie,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Korzystam obecnie,"Tak, tylko w życiu prywatnym",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Motywacja – mniej monotonnych i powtarzalnych zadań ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;",Zdecydowanie się nie zgadzam ,Zdecydowanie się zgadzam ,Raczej się zgadzam ,Zdecydowanie się nie zgadzam ,Neutralnie,Zdecydowanie się nie zgadzam ,,Nie korzystał_m z żadnych usług/ produktów;
23,10/17/25 15:05:42,10/17/25 15:09:34,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,"sztuczność, robotyka, automatyzacja",Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Korzystał_m kiedyś,Korzystam obecnie,"Tak, tylko w pracy",Kilka razy dziennie,kalendarz;Wyszukiwanie i podsumowywanie informacji;,4,Tak,"Nie ma to dla mnie znaczenia, nie wydaje mi się, aby AI wpływało na moją obecną pracę.","Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Raczej się zgadzam ,Raczej się zgadzam ,Raczej się zgadzam ,Zdecydowanie się zgadzam ,Neutralnie,Neutralnie,,Nie korzystał_m z żadnych usług/ produktów;
24,10/17/25 14:24:00,10/17/25 15:12:54,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 1 do 3 lat,"ChatGPT, Asystent AI",Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;",5,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Zdecydowanie się nie zgadzam ,Raczej się zgadzam ,Raczej się nie zgadzam ,Neutralnie,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,"W jaki sposób AI korzysta z informacji, które mu przekazuję.","Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
25,10/17/25 15:06:36,10/17/25 15:13:12,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,"Robotyka, automatyzacja, zagrożenie",Korzystał_m kiedyś,Nigdy nie korzystał_m ,Korzystam obecnie,Nigdy nie korzystał_m ,"Tak, tylko w pracy",Kilka razy w tygodniu,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);",4,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Raczej się nie zgadzam ,Zdecydowanie się zgadzam ,Raczej się zgadzam ,Raczej się nie zgadzam ,Neutralnie,Raczej się nie zgadzam ,"Pomoc w przygotowywaniu projektów, szybsza realizacja zadań.","Tak, brał_m udział w kursach/szkoleniach;"
26,10/17/25 15:14:08,10/17/25 15:17:49,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 3 do 6 lat,sztuczna inteligencja,Korzystał_m kiedyś,Korzystał_m kiedyś,Korzystał_m kiedyś,Korzystał_m kiedyś,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy w tygodniu,"Automatyzacja powtarzalnych zadań;Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Wyszukiwanie i podsumowywanie informacji;",4,Nie,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Efektywność – szybsza realizacja codziennych zadań. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;",Neutralnie,Neutralnie,Neutralnie,Neutralnie,Neutralnie,Neutralnie,,"Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
27,10/17/25 15:14:52,10/17/25 15:17:52,anonymous,,,"Zarządzam zespołem lub projektem (mam samodzielne stanowisko lub mam podległe osoby, odpowiadam za ich pracę, raportuję do Zarządu)",więcej niż 6 lat,Przyszłość,Korzystam obecnie,Korzystał_m kiedyś,Korzystał_m kiedyś,Korzystam obecnie,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Analiza danych;Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;",4,Tak,Postrzegam AI jako szansę – może odciążyć mnie od rutyny i wspierać kreatywność oraz działania strategiczne.,"Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Efektywność – szybsza realizacja codziennych zadań. ;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Zdecydowanie się nie zgadzam ,Neutralnie,Neutralnie,Raczej się zgadzam ,Raczej się nie zgadzam ,Zdecydowanie się nie zgadzam ,,"Tak, brał_m udział w kursach/szkoleniach;"
28,10/17/25 15:15:11,10/17/25 15:23:36,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 3 do 6 lat,"dystans, ograniczone zaufanie, ciekawość",Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,"Tak, tylko w życiu prywatnym",Kilka razy w tygodniu,Wyszukiwanie i podsumowywanie informacji;Wsparcie w podejmowaniu decyzji;,5,Nie,"AI mnie ciekawi – chciał_bym sprawdzić, jak AI może usprawnić moją pracę.","Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Efektywność – szybsza realizacja codziennych zadań. ;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Motywacja – mniej monotonnych i powtarzalnych zadań ;",Neutralnie,Neutralnie,Raczej się zgadzam ,Raczej się zgadzam ,Raczej się zgadzam ,Raczej się zgadzam ,,"Tak, oglądał_m przewodniki, filmy na YouTube lub innych kanałach;"
29,10/17/25 15:33:05,10/17/25 15:36:54,anonymous,,,"Mam stanowisko specjalistyczne (jestem członkiem zespołu, realizuję zadania pod kierunkiem osoby zarządzającej zespołem)",od 1 do 3 lat,automatyzm,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,Nigdy nie korzystał_m ,"Tak, zarówno w życiu prywatnym jak i w pracy",Kilka razy dziennie,"Tworzenie tekstów lub treści (np. raporty, e-maile, prezentacje);Automatyzacja powtarzalnych zadań;Wyszukiwanie i podsumowywanie informacji;",4,Tak,"AI jest dla mnie wyzwaniem – wymaga nauki i adaptacji, ale wspiera mój rozwój zawodowy.","Efektywność – szybsza realizacja codziennych zadań. ;Jakość – lepsze, bardziej precyzyjne efekty mojej pracy. ;Motywacja – mniej monotonnych i powtarzalnych zadań ;Zaangażowanie – możliwość skupienia się na zadaniach o większym znaczeniu dla zespołu i dla klubu;Organizacja – lepsze planowanie, priorytetyzacja i zarządzanie zadaniami.;Decyzje – łatwiejsze podejmowanie istotnych decyzji dzięki analizie danych;",Neutralnie,Neutralnie,Neutralnie,Raczej się zgadzam ,Neutralnie,Raczej się nie zgadzam ,Nauczyć się stosować odpowiednie pytania ,"Tak, brał_m udział w kursach/szkoleniach;"
